iter	Logloss
0	0.6910068732
1	0.6888745717
2	0.6867320277
3	0.684635107
4	0.6829263953
5	0.6806083341
6	0.6789611012
7	0.677371871
8	0.6754743102
9	0.6741420239
10	0.6721387114
11	0.6703884038
12	0.6685737517
13	0.6667280703
14	0.6652835429
15	0.6638289946
16	0.6622822091
17	0.6606508144
18	0.659405988
19	0.658246897
20	0.6569845588
21	0.655610204
22	0.654174694
23	0.653009448
24	0.651679944
25	0.6506532224
26	0.6488510698
27	0.6476805403
28	0.6465753001
29	0.6453489204
30	0.6439751521
31	0.642962096
32	0.6419471796
33	0.6408947661
34	0.6398695369
35	0.6391359913
36	0.6383622534
37	0.6375595577
38	0.6366184051
39	0.6350373939
40	0.6340748179
41	0.6331718797
42	0.6324660204
43	0.6315999424
44	0.6305617255
45	0.6296902161
46	0.6290165026
47	0.6280080474
48	0.6271976121
49	0.6265635707
50	0.6258060251
51	0.6249798471
52	0.6240924112
53	0.6234293228
54	0.6228383342
55	0.6220271133
56	0.6213670096
57	0.6205123402
58	0.6197137307
59	0.6190835784
60	0.6181937092
61	0.6173875343
62	0.6165607061
63	0.6158531124
64	0.6153850939
65	0.6146477819
66	0.6140680714
67	0.6133287845
68	0.6126488386
69	0.6119255241
70	0.6111946501
71	0.6105888146
72	0.6099247044
73	0.6092954177
74	0.608653704
75	0.6081879693
76	0.607187184
77	0.6064337724
78	0.6059104227
79	0.6052399157
80	0.6046185485
81	0.6038551492
82	0.603338724
83	0.602706879
84	0.6020713399
85	0.6014719959
86	0.6008948432
87	0.600297171
88	0.5996604905
89	0.5991726941
90	0.5986570353
91	0.5980658734
92	0.5975152995
93	0.5969887549
94	0.5965380578
95	0.5961876926
96	0.5956868608
97	0.5952792874
98	0.5948904193
99	0.5944627856
100	0.5938701737
101	0.593392137
102	0.5930024916
103	0.5925954046
104	0.5920445306
105	0.5915164945
106	0.5910280634
107	0.5906542545
108	0.5899895376
109	0.5894529159
110	0.5890433551
111	0.5885823597
112	0.5882807782
113	0.5879057682
